Order_ID,Date,Restaurant,Food_Item,Category,Price,Quantity,Delivery_Time_Minutes,City,Customer_Rating,Payment_Method
100029,08-06-2024,Burger Hub,Sushi,Japanese,82.4,4,18,delhi,4.7,Card
100030,06-06-2024,Tandoori Express,Sandwich,Snacks,543.18,3,58,bangalore,4.6,Cash
100031,13-02-2024,Tandoori Express,Sushi,Japanese,1195.78,6,66,mumbai,3,Card
100032,27-05-2024,Sushi World,Pizza,Fast Food,398.99,1,70,,4.5,Wallet
100033,01-02-2024,Cafe Aroma,Coffee,Beverages,1011.6,0,76,Chennai,3.2,Card
100034,12-06-2024,Healthy Bites,Coffee,Beverages,1346.67,8,70,Kolkata,4,Wallet
100035,08-04-2024,Tandoori Express,Biryani,Indian,1093.23,6,79,,1.6,UPI
100036,invalid_date,Cafe Aroma,Pizza,Fast Food,850.51,4,59,Hyderabad,3.3,Wallet
100037,04-05-2024,Burger Hub,Coffee,Beverages,504.03,7,79,bangalore,4.6,Wallet
100038,10-04-2024,Cafe Aroma,Burger,Fast Food,1044.38,3,26,Pune,3.1,Cash
100039,12-03-2024,Cafe Aroma,Pizza,Fast Food,735.61,three,51,bangalore,4.5,Card
100040,09-02-2024,Biryani House,Pizza,Fast Food,not_available,1,41,Chennai,1.1,Cash
100041,07-01-2024,Sushi World,Paneer Tikka,Indian,443.87,2,30,Hyderabad,1.4,Wallet
100042,24-05-2024,Sushi World,Salad,Healthy,not_available,5,86,Bangalore,4.2,Wallet
100043,09-02-2024,Pizza Nation,Noodles,Chinese,564.55,8,56,,4.3,Card
100044,25-04-2024,Wok Station,Paneer Tikka,Indian,740.12,5,41,Chennai,1.3,Wallet
100045,11-03-2024,Burger Hub,Noodles,Chinese,541.52,6,53,Kolkata,3.4,UPI
100046,16-03-2024,Sushi World,Pizza,Fast Food,773.78,8,72,,1.1,UPI
100047,31-01-2024,Healthy Bites,Sushi,Japanese,865.93,6,68,Bangalore,2,Cash
100048,invalid_date,Spice Villa,Sandwich,Snacks,1128.82,5,34,Kolkata,2.4,UPI
100049,13-03-2024,Burger Hub,Sushi,Japanese,865.77,3,72,Chennai,1,Card
100050,08-02-2024,Burger Hub,Pasta,Italian,1303.65,2,19,Hyderabad,3.7,Card
100051,30-05-2024,Sushi World,Pizza,Fast Food,1165.51,4,58,mumbai,2.8,Cash
100052,14-04-2024,Pizza Nation,Paneer Tikka,Indian,375.06,2,32,Hyderabad,1.6,Wallet
100053,09-06-2024,Burger Hub,Sushi,Japanese,1083.88,8,39,Mumbai,4.2,Wallet
100054,25-05-2024,Wok Station,Pizza,Fast Food,291.56,3,31,Chennai,3.4,Cash
100055,03-06-2024,Tandoori Express,Coffee,Beverages,1418.6,8,86,delhi,6,UPI
100056,12-03-2024,Healthy Bites,Paneer Tikka,Indian,1499.39,5,32,Hyderabad,3.6,Wallet
100057,18-06-2024,Pizza Nation,Coffee,Beverages,659.85,2,52,Kolkata,3,Cash
100058,15-04-2024,Pizza Nation,Coffee,Beverages,539.05,7,10,Kolkata,3.2,Card
100059,08-01-2024,Biryani House,Paneer Tikka,Indian,1159.19,3,66,Hyderabad,2.9,UPI
100060,15-03-2024,Tandoori Express,Pasta,Italian,864.2,2,25,mumbai,1.6,Wallet
100061,28-03-2024,Biryani House,Coffee,Beverages,862.8,3,45,Kolkata,4.4,Card
100062,21-05-2024,Tandoori Express,Burger,Fast Food,1269.22,8,67,bangalore,2.4,Wallet
100063,15-06-2024,Sushi World,Noodles,Chinese,419.1,7,-5,Chennai,3.7,Cash
100064,20-01-2024,Wok Station,Pasta,Italian,551.43,8,68,mumbai,,Card
100065,18-05-2024,Cafe Aroma,Paneer Tikka,Indian,1289.51,7,90,delhi,4,UPI
100066,15-01-2024,Sushi World,Sushi,Japanese,696.24,2,48,Bangalore,1.2,Wallet
100067,02-03-2024,Sushi World,Pasta,Italian,883.62,3,88,Hyderabad,3.5,UPI
100068,29-03-2024,Biryani House,Biryani,Indian,732.59,8,79,mumbai,2.8,Wallet
100069,28-06-2024,Biryani House,Sushi,Japanese,362.89,8,58,Pune,3.3,Wallet
100070,28-02-2024,Burger Hub,Sushi,Japanese,1053.84,1,73,Bangalore,4.6,UPI
100071,22-04-2024,Healthy Bites,Biryani,Indian,1152.92,3,90,Bangalore,2.2,UPI
100072,03-05-2024,Tandoori Express,Pizza,Fast Food,670.01,6,44,mumbai,2,Card
100073,04-01-2024,Biryani House,Pizza,Fast Food,279.87,7,81,delhi,4.2,Wallet
100074,05-06-2024,Tandoori Express,Noodles,Chinese,1247.83,2,70,delhi,6,Wallet
100075,20-06-2024,Cafe Aroma,Sushi,Japanese,144.39,8,78,,2.8,Wallet
100076,23-04-2024,Spice Villa,Paneer Tikka,Indian,1009.99,7,45,Bangalore,-1,Cash
100077,12-06-2024,Wok Station,Noodles,Chinese,995.65,two,68,Delhi,1.8,Cash
100078,invalid_date,Sushi World,Noodles,Chinese,1197.51,4,39,DELHI,1.6,UPI
100079,17-04-2024,Tandoori Express,Sandwich,Snacks,236.1,3,,,,Cash
100080,17-06-2024,Biryani House,Coffee,Beverages,808.8,4,15,Chennai,4.6,Cash
100081,02-02-2024,Biryani House,Burger,Fast Food,685.31,8,20,Pune,1.6,Card
100082,21-05-2024,Healthy Bites,Salad,Healthy,724.28,2,24,Mumbai,3.6,Wallet
100083,09-02-2024,Sushi World,Coffee,Beverages,1254.94,2,50,Chennai,2.5,Cash
100084,20-06-2024,Pizza Nation,Pizza,Fast Food,217.12,3,85,Bangalore,3.2,Wallet
100085,22-05-2024,Tandoori Express,Burger,Fast Food,579.34,4,71,mumbai,1.4,UPI
100086,27-03-2024,Wok Station,Salad,Healthy,1242.17,1,44,DELHI,6,UPI
100087,24-03-2024,Cafe Aroma,Paneer Tikka,Indian,1132.18,4,68,Hyderabad,2.5,Cash
100088,10-03-2024,Spice Villa,Burger,Fast Food,957.33,5,64,Kolkata,2.8,Cash
100089,05-02-2024,Cafe Aroma,Noodles,Chinese,1043.07,5,60,mumbai,,Card
100090,11-01-2024,Burger Hub,Pizza,Fast Food,691.53,4,55,Chennai,4.4,Cash
100091,07-06-2024,Healthy Bites,Noodles,Chinese,654.28,5,12,,1.7,Card
100092,13-02-2024,Cafe Aroma,Pizza,Fast Food,425.51,2,49,Pune,1.9,Cash
100093,09-02-2024,Wok Station,Sandwich,Snacks,1182.24,3,28,Pune,1.7,Cash
100094,30-04-2024,Biryani House,Pasta,Italian,880.5,6,90,mumbai,2.8,Card
100095,24-01-2024,Burger Hub,Paneer Tikka,Indian,185.35,1,46,Kolkata,4.9,Wallet
100096,01-05-2024,Healthy Bites,Coffee,Beverages,1204.38,8,83,Delhi,2.3,Wallet
100097,05-06-2024,Pasta Point,Pizza,Fast Food,199.75,1,66,Bangalore,3.1,Card
100098,17-06-2024,Cafe Aroma,Salad,Healthy,1044.03,6,81,Hyderabad,2.1,UPI
100099,25-03-2024,Pizza Nation,Noodles,Chinese,280.83,7,20,Pune,2.5,Cash
100100,09-02-2024,Wok Station,Salad,Healthy,594.89,4,72,delhi,5,Cash
100101,01-03-2024,Healthy Bites,Noodles,Chinese,614.94,3,15,Hyderabad,3.7,Card
100102,22-04-2024,Sushi World,Coffee,Beverages,519.44,8,34,mumbai,4.8,Wallet
100103,21-05-2024,Wok Station,Sandwich,Snacks,310.12,3,16,,4.5,Cash
100104,25-04-2024,Pizza Nation,Sushi,Japanese,467.36,3,21,Delhi,1.9,Wallet
100105,15-06-2024,Cafe Aroma,Burger,Fast Food,414.8,6,50,DELHI,4.4,UPI
100106,25-02-2024,Tandoori Express,Burger,Fast Food,750.89,8,10,Kolkata,1.1,Wallet
100107,06-02-2024,Tandoori Express,Pizza,Fast Food,253.02,8,73,Delhi,3.3,Card
100108,11-06-2024,Healthy Bites,Biryani,Indian,1023.41,6,77,Bangalore,2.9,Card
100109,27-03-2024,Pasta Point,Burger,Fast Food,569.62,2,52,DELHI,2.4,Wallet
100110,21-03-2024,Spice Villa,Coffee,Beverages,169.6,8,35,Kolkata,4.5,Wallet
100111,01-02-2024,Biryani House,Sandwich,Snacks,1149.67,6,16,bangalore,2.3,Wallet
100112,18-04-2024,Cafe Aroma,Coffee,Beverages,345.28,6,76,Hyderabad,1.3,UPI
100113,24-04-2024,Tandoori Express,Sandwich,Snacks,193.7,5,64,Bangalore,2.8,Wallet
100114,02-04-2024,Burger Hub,Sushi,Japanese,not_available,3,66,Hyderabad,6,Cash
100115,12-03-2024,Spice Villa,Paneer Tikka,Indian,1427.33,2,77,delhi,2.3,Cash
100116,05-05-2024,Biryani House,Pasta,Italian,1377.23,5,37,DELHI,2.1,Cash
100117,17-03-2024,Spice Villa,Coffee,Beverages,712.06,6,18,,2.2,UPI
100118,29-04-2024,Wok Station,Noodles,Chinese,1478.89,4,13,Kolkata,3.3,UPI
100119,19-01-2024,Pizza Nation,Paneer Tikka,Indian,,7,19,Pune,2.3,Card
100120,18-03-2024,Wok Station,Pasta,Italian,338.39,7,17,Bangalore,3.1,UPI
100121,13-06-2024,Wok Station,Noodles,Chinese,1281.23,5,48,Hyderabad,1.4,UPI
100122,27-05-2024,Healthy Bites,Pasta,Italian,939.3,1,13,Mumbai,4.8,Wallet
100123,16-01-2024,Burger Hub,Paneer Tikka,Indian,970.57,5,61,bangalore,1.3,Wallet
100124,04-04-2024,Sushi World,Coffee,Beverages,284.01,6,54,delhi,1.5,Card
100125,10-02-2024,Biryani House,Biryani,Indian,718.43,1,59,Hyderabad,2.7,Card
100126,02-03-2024,Spice Villa,Biryani,Indian,810.91,5,21,Bangalore,3,Cash
100127,08-03-2024,Tandoori Express,Burger,Fast Food,1332.92,8,11,bangalore,2.7,Card
100128,25-01-2024,Cafe Aroma,Burger,Fast Food,-235,-1,89,Bangalore,1.5,Card
100129,11-05-2024,Sushi World,Pasta,Italian,649.97,two,70,Hyderabad,1.6,Card
100130,17-03-2024,Cafe Aroma,Pasta,Italian,1129.83,6,75,Delhi,3.8,Card
100131,28-05-2024,Pizza Nation,Noodles,Chinese,908.86,1,43,,4.1,Cash
100132,invalid_date,Biryani House,Paneer Tikka,Indian,973.22,7,41,Bangalore,4.8,Wallet
100133,23-05-2024,Cafe Aroma,Pasta,Italian,662.74,8,17,Pune,3.1,Wallet
100134,04-03-2024,Cafe Aroma,Sandwich,Snacks,325.92,6,43,mumbai,1.8,UPI
100135,19-05-2024,Tandoori Express,Sushi,Japanese,1060.14,8,45,bangalore,3.3,Card
100136,23-05-2024,Tandoori Express,Pasta,Italian,-90,5,37,DELHI,3.2,Cash
100137,30-04-2024,Healthy Bites,Paneer Tikka,Indian,152.09,4,16,DELHI,2.3,Cash
100138,23-01-2024,Spice Villa,Sandwich,Snacks,1407.75,8,46,Mumbai,3.6,Cash
100139,15-03-2024,Cafe Aroma,Pasta,Italian,329.62,7,33,Delhi,4.8,Card
100140,19-02-2024,Healthy Bites,Paneer Tikka,Indian,1475.85,8,27,Bangalore,2.9,UPI
100141,13-04-2024,Tandoori Express,Coffee,Beverages,100,5,34,Kolkata,4.4,Card
100142,09-03-2024,Cafe Aroma,Pizza,Fast Food,342.39,6,10,mumbai,1.9,Cash
100143,20-03-2024,Pasta Point,Sushi,Japanese,168.22,5,74,Pune,4.6,Card
100144,30-04-2024,Healthy Bites,Noodles,Chinese,1439.45,8,87,Pune,3.8,UPI
100145,09-05-2024,Healthy Bites,Biryani,Indian,196.26,6,82,Kolkata,4.3,UPI
100146,03-02-2024,Pasta Point,Pasta,Italian,707.41,8,75,Chennai,1.2,Cash
100147,28-06-2024,Biryani House,Sandwich,Snacks,517.6,5,84,Delhi,2.7,Cash
100148,06-04-2024,Burger Hub,Coffee,Beverages,335.57,7,58,Pune,4.7,UPI
100149,19-05-2024,Pizza Nation,Noodles,Chinese,842.91,4,12,bangalore,2.9,UPI
100150,01-06-2024,Biryani House,Biryani,Indian,471.42,2,63,Hyderabad,1.3,Cash
100151,27-05-2024,Burger Hub,Biryani,Indian,412.76,1,47,Hyderabad,4.7,Card
100152,14-02-2024,Tandoori Express,Biryani,Indian,1479.69,7,17,bangalore,3.4,Wallet
100153,17-05-2024,Pasta Point,Burger,Fast Food,1033.31,6,62,Mumbai,2.5,Card
100154,25-04-2024,Biryani House,Pasta,Italian,878.59,3,42,delhi,3.6,UPI
100155,02-05-2024,Tandoori Express,Burger,Fast Food,939.06,two,85,Bangalore,3.2,Card
100156,02-03-2024,Sushi World,Burger,Fast Food,1446.15,8,87,mumbai,2.6,Wallet
100157,22-02-2024,Wok Station,Coffee,Beverages,517.96,8,70,bangalore,2.3,Cash
100158,03-03-2024,Sushi World,Paneer Tikka,Indian,103.03,7,35,Pune,2.5,Card
100159,05-05-2024,Biryani House,Sushi,Japanese,991.21,3,55,Kolkata,3.9,Cash
100160,18-01-2024,Burger Hub,Sandwich,Snacks,185.55,1,62,Delhi,3.5,UPI
100161,05-01-2024,Biryani House,Sandwich,Snacks,957.33,8,12,mumbai,3.2,Card
100162,07-06-2024,Wok Station,Burger,Fast Food,1037.13,3,22,Bangalore,2,Card
100163,09-01-2024,Pizza Nation,Salad,Healthy,656.56,4,20,bangalore,4.4,Wallet
100164,25-01-2024,Biryani House,Sandwich,Snacks,93.42,7,52,Delhi,4.4,UPI
100165,05-01-2024,Healthy Bites,Biryani,Indian,146.12,-1,14,Hyderabad,4.4,UPI
100166,05-02-2024,Pizza Nation,Salad,Healthy,880.82,7,79,,4,Cash
100167,05-05-2024,Pasta Point,Sandwich,Snacks,700.67,7,51,Kolkata,-1,Wallet
100168,11-06-2024,Spice Villa,Salad,Healthy,1018.15,5,19,bangalore,1.6,Card
100169,22-05-2024,Pizza Nation,Noodles,Chinese,1419,5,21,delhi,2.8,Cash
100170,23-05-2024,Pasta Point,Pizza,Fast Food,927.63,7,-5,Mumbai,3.9,UPI
100171,20-01-2024,Spice Villa,Salad,Healthy,507.61,2,45,Mumbai,2.9,Wallet
100172,22-04-2024,Healthy Bites,Paneer Tikka,Indian,231.9,7,89,Pune,4.4,UPI
100173,05-05-2024,Pasta Point,Sushi,Japanese,1067.32,3,50,Mumbai,3.8,Card
100174,07-01-2024,Tandoori Express,Salad,Healthy,637.97,4,79,Chennai,4.1,UPI
100175,17-06-2024,Tandoori Express,Coffee,Beverages,178.21,7,27,bangalore,2,Wallet
100176,01-06-2024,Biryani House,Pizza,Fast Food,760.51,7,56,delhi,4.2,Cash
100177,03-01-2024,Pasta Point,Biryani,Indian,950,7,52,Mumbai,2.7,UPI
100178,22-01-2024,Pasta Point,Coffee,Beverages,1176.73,3,13,,2.2,UPI
100179,18-01-2024,Tandoori Express,Noodles,Chinese,1193.66,6,66,,2.8,Cash
100180,28-04-2024,Pasta Point,Burger,Fast Food,1041.54,4,80,bangalore,3.2,UPI
100181,29-06-2024,Cafe Aroma,Pasta,Italian,1127.09,8,59,delhi,6,Cash
100182,30-05-2024,Spice Villa,Sandwich,Snacks,359.85,8,50,Bangalore,3.4,Wallet
100183,16-02-2024,Spice Villa,Paneer Tikka,Indian,1082.5,2,50,DELHI,2.2,Wallet
100184,25-04-2024,Healthy Bites,Salad,Healthy,624.87,3,72,Bangalore,1.7,Cash
100185,05-05-2024,Spice Villa,Coffee,Beverages,625.2,8,72,Hyderabad,4.4,Cash
100186,19-05-2024,Tandoori Express,Biryani,Indian,not_available,8,24,Bangalore,2.1,Cash
100187,23-01-2024,Wok Station,Coffee,Beverages,683.72,4,14,delhi,2.4,UPI
100188,16-01-2024,Healthy Bites,Biryani,Indian,1302.69,7,27,Kolkata,4.3,Card
100189,25-01-2024,Wok Station,Paneer Tikka,Indian,1470.18,5,75,bangalore,3.7,Cash
100190,09-03-2024,Spice Villa,Sushi,Japanese,268.42,6,60,bangalore,3.3,Wallet
100191,24-01-2024,Pizza Nation,Pizza,Fast Food,1144.72,6,72,Chennai,1,Card
100192,24-05-2024,Wok Station,Pizza,Fast Food,1454.74,8,46,Bangalore,3.3,Cash
100193,03-02-2024,Pizza Nation,Burger,Fast Food,1268.12,0,64,mumbai,3.8,UPI
100194,19-04-2024,Pizza Nation,Sushi,Japanese,435.55,3,,,4,Cash
100195,03-02-2024,Sushi World,Burger,Fast Food,268.43,8,53,Mumbai,2.7,Wallet
100196,18-01-2024,Pizza Nation,Pizza,Fast Food,601.94,7,27,Delhi,3.7,UPI
100197,26-01-2024,Pasta Point,Coffee,Beverages,971.87,7,66,delhi,1.3,Wallet
100198,invalid_date,Cafe Aroma,Noodles,Chinese,278.56,2,86,Pune,3.4,Card
100199,07-05-2024,Wok Station,Biryani,Indian,347.88,1,40,delhi,1.5,Cash
100200,invalid_date,Pasta Point,Noodles,Chinese,1302.36,6,32,delhi,4.8,Cash
100201,06-06-2024,Sushi World,Sushi,Japanese,,7,61,delhi,3.1,Card
100202,02-03-2024,Wok Station,Pizza,Fast Food,1463.53,6,18,delhi,2.7,Wallet
100203,29-03-2024,Biryani House,Pizza,Fast Food,158.14,3,27,,1.7,Card
100204,14-05-2024,Pasta Point,Pasta,Italian,1189.2,2,13,,2.7,Cash
100205,21-06-2024,Biryani House,Coffee,Beverages,158.72,3,42,Mumbai,4.6,Cash
100206,16-06-2024,Burger Hub,Burger,Fast Food,749.91,3,14,Bangalore,4.7,UPI
100207,18-01-2024,Pasta Point,Salad,Healthy,190.6,1,76,mumbai,4.8,Card
100208,06-05-2024,Pizza Nation,Noodles,Chinese,91.32,5,41,Mumbai,3.4,UPI
100209,19-03-2024,Burger Hub,Pasta,Italian,113.95,1,10,Kolkata,2.5,UPI
100210,28-06-2024,Biryani House,Salad,Healthy,1461.03,5,39,Chennai,3.1,Cash
100211,21-03-2024,Pizza Nation,Paneer Tikka,Indian,984.85,1,26,bangalore,2,Card
100212,31-01-2024,Biryani House,Noodles,Chinese,186.06,2,31,Mumbai,2.3,Wallet
100213,07-02-2024,Biryani House,Sushi,Japanese,250.28,5,87,Mumbai,6,Card
100214,05-02-2024,Wok Station,Salad,Healthy,not_available,0,80,Delhi,2.8,UPI
100215,17-01-2024,Sushi World,Pasta,Italian,608.58,2,43,Pune,1.3,Wallet
100216,11-04-2024,Pizza Nation,Pasta,Italian,1257.69,1,16,bangalore,3.3,Wallet
100217,20-05-2024,Pasta Point,Pasta,Italian,345.75,3,late,delhi,3,Card
100218,01-04-2024,Spice Villa,Salad,Healthy,992.57,4,79,Chennai,5,Card
100219,15-05-2024,Wok Station,Paneer Tikka,Indian,464.02,4,45,Hyderabad,5,UPI
100220,09-04-2024,Pizza Nation,Pasta,Italian,422.44,1,38,DELHI,4.9,UPI
100221,24-05-2024,Healthy Bites,Biryani,Indian,1128.11,1,55,Chennai,3.3,Card
100222,15-02-2024,Biryani House,Pasta,Italian,not_available,8,88,Bangalore,1.5,Cash
100223,30-05-2024,Spice Villa,Burger,Fast Food,1382.46,6,57,mumbai,3.6,Card
100224,06-06-2024,Spice Villa,Pasta,Italian,700.35,8,32,Mumbai,3.2,UPI
100225,25-05-2024,Tandoori Express,Salad,Healthy,498.21,1,83,Hyderabad,5,Card
100226,11-06-2024,Sushi World,Paneer Tikka,Indian,227.84,6,40,delhi,2.3,Card
100227,12-02-2024,Burger Hub,Coffee,Beverages,434.35,5,16,Chennai,3.9,Wallet
100228,06-01-2024,Wok Station,Noodles,Chinese,1256.91,4,19,delhi,1.1,Cash
100229,20-04-2024,Spice Villa,Noodles,Chinese,308.48,three,88,DELHI,3.8,Wallet
100230,26-05-2024,Burger Hub,Pasta,Italian,371.88,5,48,Chennai,1.2,UPI
100231,30-01-2024,Pasta Point,Burger,Fast Food,,1,47,bangalore,2.9,Wallet
100232,27-02-2024,Tandoori Express,Coffee,Beverages,852.66,7,67,Hyderabad,6,Cash
100233,17-05-2024,Pizza Nation,Pasta,Italian,568.18,4,59,Chennai,2.7,UPI
100234,24-02-2024,Tandoori Express,Coffee,Beverages,1361.94,3,67,DELHI,4.9,Cash
100235,18-01-2024,Pizza Nation,Salad,Healthy,698.26,3,43,Kolkata,3.9,Wallet
100236,29-01-2024,Pasta Point,Sandwich,Snacks,817.96,1,89,DELHI,4.1,Cash
100237,04-06-2024,Healthy Bites,Pizza,Fast Food,1195.76,6,43,DELHI,2.9,Card
100238,01-05-2024,Spice Villa,Salad,Healthy,1046.75,7,52,Bangalore,1.2,Cash
100239,23-04-2024,Tandoori Express,Noodles,Chinese,1276.84,2,39,Bangalore,4.9,Card
100240,11-05-2024,Healthy Bites,Salad,Healthy,346.87,7,76,delhi,4.3,Card
100241,26-04-2024,Cafe Aroma,Sandwich,Snacks,1288.84,1,35,Bangalore,2,UPI
100242,15-02-2024,Pasta Point,Sushi,Japanese,797.28,2,40,Chennai,3.4,Card
100243,26-02-2024,Spice Villa,Noodles,Chinese,447.3,2,59,Pune,,UPI
100244,03-01-2024,Cafe Aroma,Sushi,Japanese,1307.77,1,26,Hyderabad,3.4,Card
100245,invalid_date,Cafe Aroma,Sushi,Japanese,1289.25,4,76,Pune,2.6,Card
100246,07-03-2024,Healthy Bites,Sandwich,Snacks,503.84,2,45,Pune,4.4,Card
100247,16-03-2024,Spice Villa,Biryani,Indian,421.23,,27,bangalore,3.6,Wallet
100248,01-05-2024,Burger Hub,Salad,Healthy,1492.55,6,38,Pune,3.6,Card
100249,23-05-2024,Tandoori Express,Sandwich,Snacks,1273.71,3,70,DELHI,2,Card
100250,30-04-2024,Sushi World,Pizza,Fast Food,1136.78,6,84,Pune,4.4,Cash
100251,14-04-2024,Sushi World,Coffee,Beverages,1311.85,5,29,Chennai,1.8,UPI
100252,27-05-2024,Spice Villa,Noodles,Chinese,772.36,3,17,Chennai,,Cash
100253,04-01-2024,Healthy Bites,Pasta,Italian,689.76,8,14,Kolkata,3.9,UPI
100254,12-02-2024,Burger Hub,Burger,Fast Food,433.33,6,23,Delhi,3.4,Card
100255,invalid_date,Biryani House,Sushi,Japanese,926.85,3,72,Mumbai,1.8,UPI
100256,01-06-2024,Burger Hub,Biryani,Indian,319.96,1,42,Pune,3.5,Cash
100257,03-01-2024,Burger Hub,Burger,Fast Food,671.82,5,29,Pune,3.7,Cash
100258,28-01-2024,Tandoori Express,Sandwich,Snacks,1075.03,2,89,Hyderabad,1.5,UPI
100259,invalid_date,Wok Station,Sushi,Japanese,588.25,3,late,Pune,2.9,Cash
100260,26-04-2024,Healthy Bites,Pizza,Fast Food,291.79,2,22,mumbai,3.6,Card
100261,invalid_date,Burger Hub,Coffee,Beverages,328.08,three,50,DELHI,1.5,UPI
100262,26-04-2024,Pasta Point,Noodles,Chinese,1436.23,2,53,bangalore,2.6,Wallet
100263,22-04-2024,Spice Villa,Salad,Healthy,1068.56,3,85,bangalore,3.3,Card
100264,12-01-2024,Burger Hub,Paneer Tikka,Indian,1329.53,3,72,Pune,2.6,Card
100265,04-03-2024,Wok Station,Burger,Fast Food,898.84,6,89,Pune,3.6,Wallet
100266,05-05-2024,Wok Station,Pasta,Italian,950.34,-1,73,Bangalore,1.3,Card
100267,07-05-2024,Wok Station,Burger,Fast Food,993.51,4,66,delhi,2.8,Wallet
100268,23-05-2024,Pizza Nation,Burger,Fast Food,130.88,2,89,Pune,4.6,Wallet
100269,03-04-2024,Pasta Point,Noodles,Chinese,1239.56,6,89,delhi,3.9,Cash
100270,12-02-2024,Burger Hub,Biryani,Indian,1258.44,5,57,,1.2,Wallet
100271,16-04-2024,Tandoori Express,Pizza,Fast Food,346.31,7,34,Pune,1.4,Cash
100272,10-05-2024,Biryani House,Coffee,Beverages,1437.79,8,-5,DELHI,2.9,UPI
100273,11-03-2024,Pizza Nation,Pasta,Italian,932.78,7,87,Bangalore,4,Card
100274,21-05-2024,Spice Villa,Coffee,Beverages,935.58,5,80,Mumbai,3.8,UPI
100275,23-05-2024,Tandoori Express,Paneer Tikka,Indian,1388.09,3,51,Hyderabad,4,Wallet
100276,11-02-2024,Tandoori Express,Sandwich,Snacks,679.79,2,16,Pune,1.8,Card
100277,23-05-2024,Burger Hub,Pasta,Italian,499.1,1,67,,4.5,Wallet
100278,24-06-2024,Wok Station,Biryani,Indian,1214.33,1,59,Kolkata,4.2,Cash
100279,03-06-2024,Tandoori Express,Burger,Fast Food,1313.77,8,57,,3.2,UPI
100280,22-05-2024,Biryani House,Sushi,Japanese,1049.38,3,25,DELHI,2.7,Card
100281,01-04-2024,Pasta Point,Burger,Fast Food,1411.24,-1,,,3.3,Card
100282,24-02-2024,Sushi World,Sandwich,Snacks,819.26,3,78,Bangalore,2.4,Card
100283,06-06-2024,Sushi World,Sushi,Japanese,957.96,1,54,Mumbai,4.6,Cash
100284,04-05-2024,Cafe Aroma,Noodles,Chinese,1421.88,5,,Pune,3,UPI
100285,24-06-2024,Wok Station,Noodles,Chinese,216.26,1,36,delhi,4.1,UPI
100286,05-03-2024,Cafe Aroma,Sandwich,Snacks,1414.45,3,52,Hyderabad,1.2,UPI
100287,07-06-2024,Cafe Aroma,Sushi,Japanese,974.91,1,25,,3.6,Cash
